timestamp,country,city,latitude,longitude,pm25,pm10,no2,so2,o3,co,aqi,temperature,humidity,wind_speed
25:17.6,US,New York,40.713,-74.006,50.295,108.938,27.998,6.539,52.568,1.096,108,18.504,70.168,3.725
25:17.6,US,New York,40.713,-74.006,32.083,63.043,36.12,4.021,43.536,1.075,90,5.838,80.088,8.969
25:17.6,US,New York,40.713,-74.006,42.25,82.553,26.935,9.538,23.32,0.977,84,31.833,62.783,9.65
25:17.6,US,New York,40.713,-74.006,30.403,79.951,63.536,7.609,31.369,0.23,158,23.14,89.153,8.956
25:17.6,US,New York,40.713,-74.006,21.083,66.423,38.997,6.919,45.615,1.085,97,13.632,76.499,4.017
25:17.6,US,New York,40.713,-74.006,31.242,92.779,30.633,8.03,43.725,0.347,92,15.159,42.505,1.199
25:17.6,US,New York,40.713,-74.006,77.69,65.198,20.302,7.641,62.687,0.734,155,36.729,47.651,4.542
25:17.6,US,New York,40.713,-74.006,57.816,111.709,34.533,6.945,41.304,0.771,115,37.891,53.314,7.605
25:17.6,US,New York,40.713,-74.006,60.914,44.775,40.936,6.779,36.751,1.014,121,24.092,48.148,8.686
25:17.6,US,New York,40.713,-74.006,16.464,76.631,28.119,8.561,79.467,1.081,76,11.49,29.403,3.762
25:17.6,US,New York,40.713,-74.006,48.469,72.858,23.356,4.244,34.794,0.973,96,27.913,34.736,5.054
25:17.6,US,New York,40.713,-74.006,44.477,37.724,39.812,6.704,34,0.48,99,18.665,29.091,8.802
25:17.6,US,New York,40.713,-74.006,57.227,28.916,30.698,8.091,63.108,0.967,114,14.584,46.654,5.57
25:17.6,US,New York,40.713,-74.006,26.147,58.714,49.826,5.228,51.651,0.615,124,27.299,76.014,0.786
25:17.6,US,New York,40.713,-74.006,38.815,121.394,25.969,4.112,44.73,1.124,121,34.481,81.79,3.576
25:17.6,US,New York,40.713,-74.006,42.793,91.138,11.6,7.625,43.074,0.944,91,8.423,62.661,1.287
25:17.6,US,New York,40.713,-74.006,2.799,69.074,52.218,5.538,37.461,0.6,130,7.884,74.873,3.401
25:17.6,US,New York,40.713,-74.006,63.552,57.838,13.754,4.427,42.251,0.997,127,36.193,62.906,7.097
25:17.6,US,New York,40.713,-74.006,26.664,54.577,35.136,3.599,68.139,1.069,87,14.656,83.829,5.372
25:17.6,US,New York,40.713,-74.006,49.693,83.965,60.763,7.811,60.188,0.589,151,11.743,58.646,6.374
25:17.6,US,New York,40.713,-74.006,22.22,102.306,37.332,5.142,32.491,0.781,102,12.79,65.872,7.227
25:17.6,US,New York,40.713,-74.006,51.211,97.99,37.295,2.901,49.461,0.667,102,12.955,50.346,7.861
25:17.6,US,New York,40.713,-74.006,18.385,27.829,19.647,6.642,54.364,0.818,49,32.209,25.117,8.398
25:17.6,US,New York,40.713,-74.006,31.094,59.007,46.212,7.911,21.905,0.436,115,20.478,87.347,1.08
